,Subtitle,Title,Date,URL,Location_Tag,Topic_Tag
0,Press release,Stand Up For Ukraine: global pledging event for refugees and internally displaced people taking place in Warsaw on 9 April 2022,30.03.2022,https://www.eeas.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_22_2169,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
1,Q&A,Questions and answers: a background for the Strategic Compass,21.03.2022,https://www.eeas.europa.eu/eeas/questions-and-answers-background-strategic-compass_en,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
2,Statement/Declaration,Joint Statement by the Members of the European Council,24.02.2022,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2022/02/24/joint-statement-by-the-members-of-the-european-council-24-02-2022/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Joint+Statement+by+the+Members+of+the+European+Council,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
3,Statement/Declaration,Russia's aggression against Ukraine: Press Statement by High Representative/Vice-President Josep Borrell,24.02.2022,https://www.eeas.europa.eu/eeas/russias-aggression-against-ukraine-press-statement-high-representativevice-president-josep-borrell_en,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
4,Press release,Press statement by President von der Leyen on Russia's aggression against Ukraine,24.02.2022,https://www.eeas.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_22_1322,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
5,Press release,Press statement of President Charles Michel of the European Council and President Ursula von der Leyen of the European Commission on Russia's unprecedented and unprovoked military aggression of Ukraine (Council of the EU),24.02.2022,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2022/02/24/press-statement-of-president-charles-michel-of-the-european-council-and-president-ursula-von-der-leyen-of-the-european-commission-on-russia-s-unprecedented-and-unprovoked-military-aggression-of-ukraine/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Press+statement+of+President+Charles+Michel+of+the+European+Council+and+President+Ursula+von+der+Leyen+of+the+European+Commission+on+Russia%27s+unprecedented+and+unprovoked+military+aggression+of+Ukraine,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
6,Statement/Declaration,"International Day Against Homophobia, Transphobia and Biphobia, 17 May 2021: Declaration by the High Representative on behalf of the EU",16.05.2021,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2021/05/16/international-day-against-homophobia-transphobia-and-biphobia-17-may-2021-declaration-by-the-high-representative-on-behalf-of-the-eu/?utm_source=dsms-auto&utm_medium=email&utm_campaign=International+Day+Against+Homophobia%2c+Transphobia+and+Biphobia%2c+17+May+2021%3a+Declaration+by+the+High+Representative+on+behalf+of+the+EU,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
7,Press release,Gender Action Plan â€“ putting women and girls' rights at the heart of the global recovery for a gender-equal world,25.11.2020,https://www.eeas.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/IP_20_2184,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
8,Statement/Declaration,"Declaration by the High Representative Josep Borrell, on behalf of the European Union, on malicious cyber activities exploiting the coronavirus pandemic",30.04.2020,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2020/04/30/declaration-by-the-high-representative-josep-borrell-on-behalf-of-the-european-union-on-malicious-cyber-activities-exploiting-the-coronavirus-pandemic/,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
9,Statement/Declaration,Statement by Presidents Charles Michel and Ursula von der Leyen on US travel ban related to COVID-19,12.03.2020,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2020/03/12/statement-of-presidents-charles-michel-and-ursula-von-der-leyen-on-us-travel-ban-related-to-covid-19/,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
10,Statement/Declaration,Statement by the European Commission and the High Representative of the Union for Foreign Affairs and Security Policy on the occasion of Universal Children's Day,19.11.2019,https://www.eeas.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/statement_19_6295,Andean Community,"Africa, African, Caribbean and Pacific Group of States (ACP)"
11,Press release,2030 Agenda for Sustainable Development: Council approves conclusions reaffirming strong EU commitment,22.06.2021,https://www.eeas.europa.euhttps://www.consilium.europa.eu/en/press/press-releases/2021/06/22/2030-agenda-for-sustainable-development-council-approves-conclusions-reaffirming-strong-eu-commitment/?utm_source=dsms-auto&utm_medium=email&utm_campaign=2030+Agenda+for+Sustainable+Development%3a+Council+approves+conclusions+reaffirming+strong+EU+commitment,Andean Community,"African, Caribbean and Pacific Group of States (ACP)"
12,Press release,A renewed multilateralism fit for the 21st century: the EU's agenda,17.02.2021,https://www.eeas.europa.euhttps://ec.europa.eu/commission/presscorner/detail/en/ip_21_622,Andean Community,"African, Caribbean and Pacific Group of States (ACP)"
